Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Theo Riddick,4,13,3.3,0,3,22,7.1,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,2.0,0,0,1,14.0,0,0,0
Daniel Lasco,0,1,3.2,0,0,0,7.0,0,0,0
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Tre Madden,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,2,4.2,0,0,0,7.0,0,0,0
Devante Mays,0,2,4.7,0,0,1,10.0,0,0,0
Ameer Abdullah,11,36,3.2,0,2,13,6.4,0,0,0
Taiwan Jones,0,0,4.0,0,0,0,8.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Rod Smith,0,0,0.0,0,0,0,0.0,0,0,0
Jamize Olawale,0,1,3.5,0,0,4,21.0,0,0,0
De'Angelo Henderson,0,2,3.1,0,0,0,8.0,0,0,0
Austin Ekeler,0,1,3.0,0,0,1,14.0,0,0,0
Andy Janovich,0,0,5.0,0,0,1,6.0,0,0,0
Peyton Barber,0,2,4.1,0,0,0,5.0,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Patrick DiMarco,0,0,0.0,0,0,1,7.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,1,3.6,0,0,0,7.0,0,0,0
Michael Burton,0,0,4.5,0,0,0,5.0,0,0,0
Corey Clement,0,1,3.2,0,0,0,7.0,0,0,0
Terron Ward,0,3,4.6,0,0,0,7.0,0,0,0
Matt Dayes,0,1,3.2,0,0,0,7.0,0,0,0
Danny Vitale,0,0,3.7,0,0,0,9.0,0,0,0
Aaron Jones,0,2,4.7,0,0,1,10.0,0,0,0
Corey Grant,0,3,4.9,0,0,0,7.0,0,0,0
Shane Smith,0,1,2.8,0,0,1,10.0,0,0,0
David Fluellen,0,2,3.3,0,0,0,8.0,0,0,0
Matt Jones,1,6,3.2,0,0,1,9.0,0,0,-0.2
Jerick McKinnon,2,7,3.1,0,0,3,6.2,0,0,-0.2
Tyler Ervin,2,8,3.9,0,1,5,5.1,0,0,-0.2
