Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Danny Woodhead,5,18,3.5,0,3,28,7.7,0,0,5.2
Jonathan Stewart,12,43,3.4,0,0,7,7.9,0,0,5
Bilal Powell,8,31,3.7,0,2,15,7.2,0,0,5
Giovani Bernard,6,22,3.6,0,2,21,10.5,0,0,5
Duke Johnson,4,18,4.4,0,4,35,8.1,0,0,5
Tarik Cohen,6,22,3.6,0,3,25,8.0,0,0,4.8
Theo Riddick,4,14,3.0,0,3,28,7.8,0,0,4.6
Eddie Lacy,9,36,3.7,0,1,9,7.6,0,0,4.6
Terron Ward,7,31,3.9,0,0,5,8.1,0,0,4.6
C.J. Anderson,7,29,4.1,0,1,10,7.6,0,0,4.4
Matt Forte,8,29,3.6,0,1,11,7.6,0,0,4
Charcandrick West,4,15,3.8,0,2,13,6.4,0,0,3.6
DeAndre Washington,4,16,3.3,0,2,12,5.8,0,0,3.6
Jalen Richard,5,19,3.8,0,1,14,9.0,0,0,3.6
Alfred Blue,8,31,3.9,0,0,2,6.5,0,0,3.4
Elijah McGuire,6,22,3.3,0,1,10,9.3,0,0,3.4
Rod Smith,8,34,4.2,0,0,3,6.3,0,0,3.4
Corey Clement,4,17,3.9,0,0,1,8.5,0,0,3.2
Matt Breida,5,19,3.9,0,1,11,7.3,0,0,3
Javorius Allen,3,13,3.5,0,1,10,5.9,0,0,3
Byron Marshall,4,17,3.5,0,1,14,8.6,0,0,3
Lance Dunbar,2,11,3.8,0,1,10,9.1,0,0,3
Travaris Cadet,3,14,4.5,0,1,11,7.9,0,0,3
Jamaal Charles,5,23,4.2,0,1,7,6.4,0,0,2.6
Wayne Gallman,6,25,3.9,0,0,3,5.5,0,0,2.4
Kerwynn Williams,5,16,2.9,0,0,2,7.7,0,0,2
Thomas Rawls,4,17,3.7,0,0,8,9.4,0,0,1.8
James Conner,3,11,3.3,0,0,3,7.8,0,0,1.4
Devante Mays,5,19,3.7,0,0,2,7.0,0,0,1.4
Peyton Barber,4,16,3.6,0,0,2,6.7,0,0,1.4
Corey Grant,3,10,3.6,0,0,4,6.4,0,0,1.4
T.J. Yeldon,3,15,4.6,0,1,8,6.8,0,0,1.4
Chris Ivory,4,15,3.3,0,0,5,8.1,0,0,1.2
Kyle Juszczyk,0,2,4.6,0,1,13,8.6,0,0,1
Shane Vereen,2,9,3.6,0,1,11,7.0,0,0,0.8
Benny Cunningham,1,4,3.4,0,1,11,10.8,0,0,0.8
Terrance West,1,5,3.6,0,0,1,12.0,0,0,0.6
Jamize Olawale,0,1,4.0,0,0,1,8.0,0,0,0.6
Zach Zenner,2,6,3.0,0,1,7,7.1,0,0,0.4
Cameron Artis-Payne,3,9,3.2,0,0,2,7.2,0,0,0.4
Brian Hill,0,1,2.8,0,0,0,9.0,0,0,0
D.J. Foster,0,1,3.2,0,0,1,9.0,0,0,0
Keith Smith,0,0,2.7,0,0,0,5.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,1.5,0,0,0,6.0,0,0,0
Branden Oliver,0,2,4.1,0,0,0,7.0,0,0,0
Anthony Sherman,0,0,0.0,0,0,1,8.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Jonathan Williams,0,0,0.0,0,0,0,0.0,0,0,0
John Kuhn,0,0,0.0,0,0,0,0.0,0,0,0
Jacquizz Rodgers,0,3,4.2,0,0,0,7.0,0,0,0
C.J. Spiller,0,0,0.0,0,0,0,0.0,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Matt Jones,1,4,3.3,0,0,1,18.0,0,0,0
Derek Watt,0,0,9.0,0,0,1,13.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,4.9,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Jay Prosch,0,0,3.0,0,0,0,6.0,0,0,0
Paul Perkins,1,5,3.7,0,0,1,7.5,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Terrence Magee,0,0,0.0,0,0,0,0.0,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,3.9,0,0,2,7.3,0,0,0
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Stevan Ridley,0,0,0.0,0,0,0,0.0,0,0,0
Andre Williams,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,2,4.3,0,0,0,7.0,0,0,0
Zach Line,0,0,3.0,0,0,0,9.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
De'Angelo Henderson,0,1,2.8,0,0,0,8.0,0,0,0
Andy Janovich,0,0,4.0,0,0,0,7.0,0,0,0
Ka'Deem Carey,0,1,3.6,0,0,0,8.8,0,0,0
Bobby Rainey,0,0,0.0,0,0,0,0.0,0,0,0
Josh Ferguson,0,0,0.0,0,0,0,0.0,0,0,0
Alex Armah,0,0,0.0,0,0,0,0.0,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Brandon Wilson,0,0,0.0,0,0,0,0.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Akeem Hunt,0,1,6.0,0,0,0,3.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Trey Edmunds,0,1,6.0,0,0,1,7.0,0,0,0
Patrick DiMarco,0,0,-1.0,0,0,1,9.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,2,3.5,0,0,0,8.0,0,0,0
Michael Burton,0,0,3.0,0,0,0,6.0,0,0,0
Kenjon Barner,0,0,3.5,0,0,0,7.6,0,0,0
Darren McFadden,2,9,4.9,0,0,1,10.0,0,0,0
Matt Dayes,0,0,3.5,0,0,0,6.0,0,0,0
Danny Vitale,0,0,0.0,0,0,1,12.0,0,0,0
Aaron Ripkowski,0,1,3.0,0,0,1,5.0,0,0,0
Shane Smith,0,1,3.4,0,0,0,8.0,0,0,0
David Fluellen,0,1,4.7,0,0,0,9.3,0,0,0
Charles Sims,1,5,3.6,0,1,8,7.1,0,0,-0.4
