PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Kyle Rudolph,,@Wsh,W 38-30,,0/0,0,0,0,,0,0,0,,5,37,0,7,,0,0,0,,8.7
Justin Hardy,,Dal,W 27-7,,0/0,0,0,0,,0,0,0,,2,7,1,2,,0,0,0,,8.7
J.D. McKissic,,@Ari,W 22-16,,0/0,0,0,0,,5,26,0,,4,20,0,5,,0,0,0,,8.6
Lamar Miller,,@LAR,L 7-33,,0/0,0,0,0,,11,60,0,,1,14,0,1,,0,0,0,,8.4
Kenny Golladay,,Cle,W 38-24,,0/0,0,0,0,,0,0,0,,2,64,0,3,,0,0,0,,8.4
Jamaal Williams,,@Chi,W 23-16,,0/0,0,0,0,,20,67,0,,1,7,0,1,,0,0,0,,8.4
Martavis Bryant,,@Ind,W 20-17,,0/0,0,0,0,,1,-9,0,,3,42,0,5,,1,0,0,,8.3
Dwayne Allen,,@Den,W 41-16,,0/0,0,0,0,,0,0,0,,1,11,1,2,,0,0,0,,8.1
Dez Bryant,,@Atl,L 7-27,,0/0,0,0,0,,0,0,0,,4,39,0,8,,0,0,0,,7.9
Shane Vereen,,@SF,L 21-31,,0/0,0,0,0,,5,11,0,,4,27,0,4,,0,0,0,,7.8
Antonio Brown*,,@Ind,W 20-17,,0/0,0,0,0,,0,0,0,,3,47,0,7,,0,0,0,,7.7
Jarius Wright,,@Wsh,W 38-30,,0/0,0,0,0,,0,0,0,,1,7,1,1,,0,0,0,,7.7
Nick O'Leary,,NO,L 10-47,,0/0,0,0,0,,0,0,0,,1,7,1,2,,0,0,0,,7.7
Danny Amendola,,@Den,W 41-16,,0/0,0,0,0,,0,0,0,,4,36,0,4,,0,0,0,,7.6
Jermaine Kearse,,@TB,L 10-15,,0/0,0,0,0,,0,0,0,,4,35,0,8,,0,0,0,,7.5
Rashard Higgins,,@Det,L 24-38,,0/0,0,0,0,,0,0,0,,4,34,0,4,,0,0,0,,7.4
Kelvin Benjamin,,NO,L 10-47,,0/0,0,0,0,,0,0,0,,3,42,0,6,,0,0,0,,7.2
Kendrick Bourne,,NYG,W 31-21,,0/0,0,0,0,,0,0,0,,3,42,0,3,,0,0,0,,7.2
Frank Gore,,Pit,L 17-20,,0/0,0,0,0,,17,54,0,,1,7,0,1,,0,0,0,,7.1
David Morgan,,@Wsh,W 38-30,,0/0,0,0,0,,0,0,0,,1,1,1,1,,0,0,0,,7.1
Russell Shepard,,Mia,W 45-21,,0/0,0,0,0,,0,0,0,,3,40,0,7,,0,0,0,,7
Josh Doctson,,Min,L 30-38,,0/0,0,0,0,,0,0,0,,4,30,0,7,,0,0,0,,7
Samaje Perine,,Min,L 30-38,,0/0,0,0,0,,9,35,0,,1,25,0,1,,0,0,0,,7
Tyrell Williams,,@Jax,L 17-20,,0/0,0,0,0,,0,0,0,,2,49,0,5,,0,0,0,,6.9
