PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
James Develin,,@NO,W 36-20,,0/0,0,0,0,,0,0,0,,1,6,0,1,,0,0,0,,1.6
Bilal Powell,,@Oak,L 20-45,,0/0,0,0,0,,6,13,0,,0,0,0,2,,0,0,0,,1.3
Corey Grant,,Ten,L 16-37,,0/0,0,0,0,,1,13,0,,0,0,0,0,,0,0,0,,1.3
Aaron Ripkowski,,@Atl,L 23-34,,0/0,0,0,0,,0,0,0,,1,2,0,1,,0,0,0,,1.2
Wendell Smallwood,,@KC,L 20-27,,0/0,0,0,0,,3,4,0,,1,-3,0,2,,0,0,0,,1.1
LeGarrette Blount,,@KC,L 20-27,,0/0,0,0,0,,0,0,0,,1,0,0,1,,0,0,0,,1
Charles Sims,,Chi,W 29-7,,0/0,0,0,0,,2,2,0,,2,7,0,3,,0,1,0,,0.9
Dwayne Washington,,@NYG,W 24-10,,0/0,0,0,0,,3,9,0,,0,0,0,0,,0,0,0,,0.9
James Conner*,,Min,W 26-9,,0/0,0,0,0,,1,9,0,,0,0,0,0,,0,0,0,,0.9
Rod Smith*,,@Den,L 17-42,,0/0,0,0,0,,2,8,0,,0,0,0,0,,0,0,0,,0.8
Jordan Howard,,@TB,L 7-29,,0/0,0,0,0,,9,7,0,,0,0,0,1,,0,0,0,,0.7
Latavius Murray,,@Pit,L 9-26,,0/0,0,0,0,,3,6,0,,0,0,0,0,,0,0,0,,0.6
Malcolm Brown,,Wsh,L 20-27,,0/0,0,0,0,,0,0,0,,1,-4,0,1,,0,0,0,,0.6
Thomas Rawls,,SF,W 12-9,,0/0,0,0,0,,5,4,0,,0,0,0,0,,0,0,0,,0.4
Terrell Watson,,Min,W 26-9,,0/0,0,0,0,,1,1,0,,0,0,0,0,,0,0,0,,0.1
Steven Jackson,,@NO,W 36-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
John Kuhn*,,NE,L 20-36,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Reggie Bush,,@Car,L 3-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
DeAngelo Williams,,Min,W 26-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Fred Jackson,,SF,W 12-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Ahmad Bradshaw,,Ari,L 13-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Pierre Thomas,,@LAR,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Darren McFadden,,@Den,L 17-42,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jerome Felton,,@Car,L 3-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tim Hightower,,@Sea,L 9-12,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Justin Forsett,,Dal,W 42-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Marcel Reece,,SF,W 12-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Danny Woodhead,,Cle,W 24-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Donald Brown,,@NO,W 36-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Arian Foster,,@LAC,W 19-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Rashad Jennings,,Det,L 10-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jorvorskie Lane,,Chi,W 29-7,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Cedric Peerman*,,Hou,L 9-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Marcus Thigpen,,@Car,L 3-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
