Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
T.J. Yeldon,4,22,5.4,0,1,7,6.4,0,0,2.4
Chris Ivory,5,21,3.8,0,0,6,8.9,0,0,2.2
Jamaal Charles,6,27,4.3,0,1,8,6.8,0,0,2
Lance Dunbar,3,9,3.2,0,1,15,10.7,0,0,2
Andre Ellington,2,6,2.7,0,2,21,8.8,0,0,1.8
Darren McFadden,2,11,4.4,0,0,1,6.5,0,0,1.6
Branden Oliver,3,11,3.4,0,0,4,6.4,0,0,1.4
Peyton Barber,4,14,3.3,0,0,1,6.0,0,0,1.4
James Conner,3,12,3.9,0,0,4,9.0,0,0,1.4
Corey Grant,3,12,4.2,0,0,4,7.0,0,0,1.4
Benny Cunningham,1,6,3.8,0,1,11,11.4,0,0,1.4
Kyle Juszczyk,0,2,5.0,0,1,11,8.8,0,0,1.2
Samaje Perine,3,10,3.3,0,0,4,7.0,0,0,1.2
Shane Vereen,2,8,3.4,0,1,12,7.2,0,0,0.8
Dwayne Washington,2,6,2.4,0,1,6,6.7,0,0,0.4
Jonathan Stewart,12,43,3.5,0,0,6,7.3,0,0,0
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Brian Hill,0,2,3.7,0,0,1,10.0,0,0,0
Alfred Blue,1,4,4.0,0,0,0,4.6,0,0,0
Stevan Ridley,0,0,0.0,0,0,0,0.0,0,0,0
D.J. Foster,0,1,3.2,0,0,0,8.0,0,0,0
Andre Williams,0,0,0.0,0,0,0,0.0,0,0,0
Keith Smith,0,0,2.4,0,0,0,7.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,2.0,0,0,0,6.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,2,4.0,0,0,0,7.0,0,0,0
Zach Line,0,0,2.5,0,0,1,15.0,0,0,0
Devante Mays,0,2,3.7,0,0,0,6.0,0,0,0
Zach Zenner,0,2,3.1,0,0,1,13.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
De'Angelo Henderson,0,1,3.2,0,0,0,7.0,0,0,0
Christian McCaffrey,7,25,3.5,0,6,48,8.0,0,0,0
Andy Janovich,0,0,4.0,0,0,0,7.0,0,0,0
Kenyan Drake,11,34,3.1,0,1,9,6.1,0,0,0
Ka'Deem Carey,0,2,3.8,0,0,0,9.7,0,0,0
Josh Ferguson,0,0,0.0,0,0,0,0.0,0,0,0
Alex Armah,0,0,0.0,0,0,0,0.0,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
Damien Williams,9,29,3.1,0,2,18,7.5,0,0,0
John Kuhn,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Jacquizz Rodgers,1,3,3.6,0,0,0,7.0,0,0,0
Akeem Hunt,0,1,5.0,0,0,0,3.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Trey Edmunds,0,0,3.0,0,0,1,9.5,0,0,0
Patrick DiMarco,0,0,-2.5,0,0,1,7.0,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Matt Jones,1,4,3.6,0,0,1,17.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,1,3.0,0,0,0,8.0,0,0,0
Michael Burton,0,0,4.0,0,0,0,6.0,0,0,0
Travaris Cadet,0,0,0.0,0,0,0,0.0,0,0,0
Derek Watt,0,0,1.0,0,0,0,9.0,0,0,0
Terron Ward,0,2,4.6,0,0,0,6.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,5.2,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Matt Dayes,0,0,3.0,0,0,0,7.0,0,0,0
Cameron Artis-Payne,3,10,3.3,0,0,2,6.8,0,0,0
Danny Vitale,0,0,0.0,0,0,1,7.0,0,0,0
Jay Prosch,0,0,4.0,0,0,0,6.0,0,0,0
Aaron Ripkowski,0,2,4.0,0,0,0,9.0,0,0,0
Paul Perkins,1,5,3.6,0,0,1,8.0,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Shane Smith,0,1,3.2,0,0,0,9.0,0,0,0
David Fluellen,0,1,4.7,0,0,0,7.8,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,3.6,0,0,1,7.5,0,0,0
Kerwynn Williams,1,3,2.8,0,0,1,10.0,0,0,-0.2
Jamaal Williams,1,6,3.9,0,0,1,5.0,0,0,-0.2
Charles Sims,1,4,3.3,0,1,7,7.9,0,0,-0.4
Raheem Mostert,1,3,3.5,0,0,1,5.5,0,0,-0.6
