Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
LeGarrette Blount,8,33,4.2,0,1,5,5.8,0,0,4.6
Mike Tolbert,6,29,4.5,0,0,6,6.8,0,0,4.4
Duke Johnson,4,17,3.9,0,3,35,9.1,0,0,4.4
Danny Woodhead,4,18,4.5,0,3,25,7.2,0,0,4.2
Kerwynn Williams,5,33,5.8,0,0,4,6.3,0,0,4
Matt Forte,7,32,4.3,0,0,9,10.1,0,0,4
Adrian Peterson,9,37,4.2,0,1,7,5.6,0,0,4
Eddie Lacy,9,37,4.1,0,1,9,9.1,0,0,4
Robert Turbin,5,19,3.3,0,1,10,5.6,0,0,3.6
Javorius Allen,5,22,4.1,0,1,11,6.8,0,0,3.4
Giovani Bernard,5,20,3.6,0,1,15,8.3,0,0,3.4
Darren McFadden,5,20,4.1,0,1,11,8.3,0,0,3.2
Shane Vereen,3,14,4.4,0,2,16,7.3,0,0,2.8
Aaron Ripkowski,3,13,4.1,0,0,6,6.7,0,0,2.6
Charcandrick West,5,21,3.7,0,0,6,7.1,0,0,2.4
Kyle Juszczyk,0,1,4.7,0,1,13,7.9,0,0,2.2
Chris Ivory,5,21,3.8,0,0,6,8.4,0,0,2
Orleans Darkwa,4,15,3.7,0,1,7,6.0,0,0,2
Rex Burkhead,4,18,3.8,0,0,6,9.1,0,0,1.4
Raheem Mostert,3,16,4.4,0,0,2,7.7,0,0,1.4
Alfred Morris,3,12,3.7,0,0,5,6.9,0,0,1.4
Matt Jones,2,7,3.4,0,0,2,10.0,0,0,0.6
Cameron Artis-Payne,2,9,4.3,0,0,1,11.0,0,0,0.6
Brian Hill,0,2,3.8,0,0,1,11.0,0,0,0
Malcolm Brown,2,9,3.8,0,0,6,7.3,0,0,0
Keith Smith,0,0,3.0,0,0,0,7.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Matt Breida,6,30,4.5,0,0,5,7.7,0,0,0
Jalston Fowler,0,0,2.0,0,0,0,9.0,0,0,0
Branden Oliver,4,14,3.3,0,0,7,8.4,0,0,0
Jamaal Charles,7,33,4.2,0,1,14,8.9,0,0,0
Wayne Gallman,3,14,3.8,0,0,4,7.2,0,0,0
Melvin Gordon,17,63,3.6,0,2,22,8.8,0,0,0
Anthony Sherman,0,0,0.0,0,0,0,5.0,0,0,0
Jordan Howard,17,90,5.1,0,2,19,9.4,0,0,0
Dwayne Washington,1,4,3.3,0,0,0,7.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Rob Kelley,12,57,4.4,0,1,8,7.5,0,0,0
Christian McCaffrey,11,56,4.8,0,3,29,9.4,0,0,0
Chris Carson,6,26,3.9,0,2,24,8.9,0,0,0
James Conner,4,21,4.4,0,0,7,8.3,0,0,0
DJ Pumphrey,4,20,4.4,0,0,4,7.0,0,0,0
Leonard Fournette,14,65,4.4,0,1,13,7.3,0,0,0
Tarik Cohen,6,31,5.2,0,2,15,7.7,0,0,0
Brandon Wilds,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Anderson,18,76,4.2,0,2,16,7.3,0,0,0
Ezekiel Elliott,19,90,4.7,0,2,23,11.0,0,0,0
Joe Mixon,10,40,3.8,0,2,15,7.9,0,0,0
C.J. Spiller,0,0,2.7,0,0,1,8.0,0,0,0
C.J. Prosise,4,21,5.1,0,2,24,12.2,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Derek Watt,0,0,1.0,0,0,2,22.0,0,0,0
DeAndre Washington,6,29,4.2,0,0,4,6.7,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,3.0,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Jalen Richard,3,17,5.0,0,0,5,6.8,0,0,0
Fozzy Whittaker,0,2,5.0,0,0,2,10.0,0,0,0
Jay Prosch,0,0,2.0,0,0,0,5.7,0,0,0
Paul Perkins,11,45,3.9,0,1,18,10.0,0,0,0
Elijah McGuire,6,28,4.5,0,1,9,8.8,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Derrick Henry,8,35,4.2,0,1,11,10.8,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,2.0,0,0,1,12.0,0,0,0
Benny Cunningham,0,2,5.2,0,0,2,6.7,0,0,0
Daniel Lasco,0,1,4.0,0,0,0,6.0,0,0,0
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Tre Madden,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,3,5.0,0,0,0,8.0,0,0,0
Devante Mays,0,2,3.3,0,0,1,10.0,0,0,0
Taiwan Jones,0,0,3.0,0,0,0,9.0,0,0,0
Wendell Smallwood,5,26,4.5,0,1,6,6.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Rod Smith,0,0,0.0,0,0,0,0.0,0,0,0
Jamize Olawale,0,1,3.2,0,0,4,20.5,0,0,0
De'Angelo Henderson,0,2,3.3,0,0,0,8.0,0,0,0
Austin Ekeler,0,1,2.7,0,0,0,8.0,0,0,0
Andy Janovich,0,2,5.0,0,0,4,8.0,0,0,0
Jamaal Williams,8,33,3.8,0,1,8,7.7,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Marlon Mack,6,23,3.8,0,1,12,7.1,0,0,0
Tyler Ervin,2,6,3.2,0,0,5,5.9,0,0,0
Kareem Hunt,13,50,3.7,0,1,13,7.2,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
D'Onta Foreman,5,20,3.5,0,1,7,7.0,0,0,0
Patrick DiMarco,0,0,0.0,0,0,1,7.5,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,2,3.3,0,0,0,7.0,0,0,0
Michael Burton,0,0,1.0,0,0,0,8.0,0,0,0
Terron Ward,0,3,5.0,0,0,0,7.0,0,0,0
Andre Ellington,0,2,4.0,0,0,1,6.0,0,0,0
Matt Dayes,0,1,3.2,0,0,0,8.0,0,0,0
Danny Vitale,0,0,3.9,0,0,1,10.0,0,0,0
Aaron Jones,0,2,3.3,0,0,1,10.0,0,0,0
Corey Grant,0,3,5.0,0,0,0,6.0,0,0,0
David Fluellen,0,2,3.6,0,0,0,8.0,0,0,0
Samaje Perine,4,21,4.7,0,1,12,8.7,0,0,0
Jerick McKinnon,2,8,3.8,0,0,4,6.7,0,0,-0.2
