Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Brandon Wilds,0,0,0.0,0,0,0,0.0,0,0,0
Ezekiel Elliott,20,78,3.9,0,2,22,8.8,0,0,0
C.J. Spiller,0,1,3.3,0,0,1,9.0,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Derek Watt,0,0,1.0,0,0,1,19.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,3.0,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Fozzy Whittaker,0,1,4.5,0,0,1,9.5,0,0,0
Jay Prosch,0,0,3.0,0,0,0,5.5,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,3.6,0,0,1,10.0,0,0,0
Benny Cunningham,0,1,5.0,0,0,1,8.5,0,0,0
Daniel Lasco,0,1,3.5,0,0,0,6.0,0,0,0
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Tre Madden,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,3,5.0,0,0,0,7.0,0,0,0
Latavius Murray,0,1,3.2,0,0,0,8.0,0,0,0
Devante Mays,0,2,4.2,0,0,1,10.0,0,0,0
Eddie Lacy,1,6,3.8,0,0,1,6.0,0,0,0
Taiwan Jones,0,0,4.0,0,0,0,7.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Rod Smith,0,0,0.0,0,0,0,0.0,0,0,0
Jamize Olawale,0,1,4.0,0,0,4,21.5,0,0,0
De'Angelo Henderson,0,2,3.0,0,0,0,9.0,0,0,0
Austin Ekeler,0,1,3.5,0,0,1,11.0,0,0,0
Andy Janovich,0,0,5.0,0,0,1,6.0,0,0,0
Peyton Barber,0,3,3.9,0,0,0,4.0,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Alfred Morris,4,12,2.9,0,0,5,6.1,0,0,0
Akeem Hunt,0,2,5.2,0,0,0,6.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Trey Edmunds,0,0,1.5,0,0,2,8.3,0,0,0
Patrick DiMarco,0,0,0.0,0,0,1,5.5,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,1,3.0,0,0,0,7.0,0,0,0
Michael Burton,0,0,3.5,0,0,0,5.0,0,0,0
Corey Clement,0,1,3.0,0,0,0,7.0,0,0,0
Devontae Booker,1,7,3.8,0,0,2,9.7,0,0,0
Andre Ellington,3,10,3.3,0,1,8,7.3,0,0,0
Darren McFadden,1,3,3.6,0,0,1,8.5,0,0,0
Matt Dayes,0,1,3.2,0,0,0,9.0,0,0,0
Danny Vitale,0,0,4.5,0,0,1,6.5,0,0,0
Aaron Jones,0,2,4.2,0,0,1,10.0,0,0,0
Corey Grant,0,3,4.9,0,0,0,4.0,0,0,0
Shane Smith,0,1,3.2,0,0,0,9.0,0,0,0
David Fluellen,0,2,3.3,0,0,0,7.0,0,0,0
Tyler Ervin,1,4,3.8,0,0,4,5.1,0,0,-0.4
Chris Ivory,2,9,3.3,0,0,4,8.4,0,0,-0.6
