Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Ka'Deem Carey,0,1,3.6,0,0,0,8.7,0,0,0
Bobby Rainey,0,0,0.0,0,0,0,0.0,0,0,0
Josh Ferguson,0,0,0.0,0,0,0,0.0,0,0,0
Alex Armah,0,0,0.0,0,0,0,0.0,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Brandon Wilson,0,0,0.0,0,0,0,0.0,0,0,0
Bronson Hill,0,1,2.7,0,0,0,8.4,0,0,0
Lance Dunbar,0,1,5.0,0,0,2,11.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
De'Veon Smith,0,0,0.0,0,0,0,0.0,0,0,0
Akeem Hunt,0,0,4.0,0,0,0,8.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Trey Edmunds,0,1,4.7,0,0,1,11.0,0,0,0
Trey Williams,0,0,0.0,0,0,0,0.0,0,0,0
Patrick DiMarco,0,0,-1.0,0,0,1,9.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,1,2.8,0,0,0,7.0,0,0,0
Michael Burton,0,0,3.0,0,0,0,6.0,0,0,0
Terron Ward,0,3,5.3,0,0,0,6.4,0,0,0
Kenjon Barner,0,0,3.0,0,0,0,7.5,0,0,0
Darren McFadden,0,0,0.0,0,0,0,0.0,0,0,0
Matt Dayes,0,0,4.0,0,0,0,7.0,0,0,0
Danny Vitale,0,0,0.0,0,0,1,13.0,0,0,0
Aaron Ripkowski,0,1,3.5,0,0,1,5.0,0,0,0
Shane Smith,0,1,2.8,0,0,0,6.0,0,0,0
David Fluellen,0,1,3.7,0,0,0,7.7,0,0,0
Eddie Lacy,3,9,3.2,0,0,4,6.6,0,0,-0.2
