Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
OUTRakeem Nunez-Roches DL KC (10),,@OAKL 30-31 ,1,,0,1,0,0,0,0,0,,0%
Darius Philon DL LAC (9),,DENW 21-0 ,1,,1,1,0,0,0,0,0,,1%
IRShaq Lawson DL BUF (6),,TBW 30-27 ,1,,3,1,0,0,0,0,0,,11%
Adam Gotsis DL DEN (5),,@LACL 0-21 ,1,,1,1,0,0,0,0,0,,2%
Maliek Collins DL DAL (6),,@SFW 40-10 ,1,,1,1,0,0,0,0,0,,2%
Javon Hargrave DL PIT (9),,CINW 29-14 ,1,,2,1,0,0,0,0,0,,3%
IREmmanuel Ogbah DL CLE (9),,TENL 9-12 ,1,,3,1,0,0,0,0,0,,20%
IRNoah Spence DL TB (1),,@BUFL 27-30 ,1,,1,1,0,0,0,0,0,,9%
Jonathan Bullard DL CHI (9),,CARW 17-3 ,1,,1,1,0,0,0,0,0,,1%
David Onyemata DL NO (5),,@GBW 26-17 ,1,,1,1,0,0,0,0,0,,0%
Dean Lowry DL GB (8),,NOL 17-26 ,1,,0,1,0,0,0,0,0,,1%
Andrew Billings DL CIN (6),,@PITL 14-29 ,1,,0,1,0,0,0,0,0,,0%
Matt Judon DL BAL (10),,@MINL 16-24 ,1,,1,1,0,0,0,0,0,,58%
Eddie Yarbrough DL BUF (6),,TBW 30-27 ,1,,2,1,0,0,0,0,0,,1%
Destiny Vaeao DL PHI (10),,WASW 34-24 ,1,,0,1,0,0,0,0,0,,0%
Michael Pierce DL BAL (10),,@MINL 16-24 ,1,,3,1,0,0,0,0,0,,8%
Trevon Coley DL CLE (9),,TENL 9-12 ,1,,2,1,0,0,0,0,0,,1%
Branden Jackson DL SEA (6),,@NYGW 24-7 ,1,,0,1,0,0,0,0,0,,0%
Taco Charlton DL DAL (6),,@SFW 40-10 ,1,,0,1,0,0,0,0,0,,11%
Solomon Thomas DL SF (11),,DALL 10-40 ,1,,0,1,0,0,0,0,0,,25%
DeMarcus Walker DL DEN (5),,@LACL 0-21 ,1,,0,1,0,0,0,0,0,,2%
Dalvin Tomlinson DL NYG (8),,SEAL 7-24 ,1,,0,1,0,0,0,0,0,,2%
QTrey Hendrickson DL NO (5),,@GBW 26-17 ,1,,0,1,0,0,0,0,0,,1%
Jordan Willis DL CIN (6),,@PITL 14-29 ,1,,0,1,0,0,0,0,0,,2%
Chris Wormley DL BAL (10),,@MINL 16-24 ,1,,0,1,0,0,0,0,0,,1%
Ryan Glasgow DL CIN (6),,@PITL 14-29 ,1,,4,1,0,0,0,0,0,,0%
Davon Godchaux DL MIA (1),,NYJW 31-28 ,1,,0,1,0,0,0,0,0,,1%
Tanzel Smart DL LA (8),,ARIW 33-0 ,1,,0,1,0,0,0,0,0,,0%
OUTTreyvon Hester DL OAK (10),,KCW 31-30 ,1,,0,1,0,0,0,0,0,,0%
OUTEli Ankou DL JAC (8),,@INDW 27-0 ,1,,2,0,0,0.5,0,0,0,,0%
IRWilliam Hayes DL MIA (1),,NYJW 31-28 ,0,,1,0,0,0,0,0,0,,4%
Michael Bennett DL SEA (6),,@NYGW 24-7 ,0,,0,0,0,0,0,0,0,,43%
Earl Mitchell DL SF (11),,DALL 10-40 ,0,,1,0,0,0,0,0,0,,1%
Karl Klug DL TEN (8),,@CLEW 12-9 ,0,,4,0,0,0,0,0,0,,1%
Tyrunn Walker DL LA (8),,ARIW 33-0 ,0,,0,0,0,0,0,0,0,,1%
David Bass DL NYJ (11),,@MIAL 28-31 ,0,,2,0,0,0,0,0,0,,1%
Stacy McGee DL WAS (5),,@PHIL 24-34 ,0,,1,0,0,0,0,0,0,,1%
Joe Vellano DL ATL (5),,@NEL 7-23 ,0,,1,0,0,0,0,0,0,,0%
IREd Stinson DL NYJ (11),,@MIAL 28-31 ,0,,1,0,0,0,0,0,0,,0%
Cassius Marsh DL NE (9),,ATLW 23-7 ,0,,0,0,0,0,0,0,0,,2%
Kerry Wynn DL NYG (8),,SEAL 7-24 ,0,,3,0,0,0,0,0,0,,0%
Malcom Brown DL NE (9),,ATLW 23-7 ,0,,1,0,0,0,0,0,0,,5%
Nate Orchard DL CLE (9),,TENL 9-12 ,0,,1,0,0,0,0,0,0,,0%
Rodney Gunter DL ARI (8),,@LAL 0-33 ,0,,1,0,0,0,0,0,0,,0%
Tyeler Davison DL NO (5),,@GBW 26-17 ,0,,1,0,0,0,0,0,0,,0%
Richard Ash DL DAL (6),,@SFW 40-10 ,0,,0,0,0,0,0,0,0,,0%
QMario Edwards DL OAK (10),,KCW 31-30 ,0,,1,0,0,0,0,0,0,,11%
OUTBronson Kaufusi DL BAL (10),,@MINL 16-24 ,0,,2,0,0,0,0,0,0,,0%
QMatt Ioannidis DL WAS (5),,@PHIL 24-34 ,0,,1,0,0,0,0,0,0,,0%
Hassan Ridgeway DL IND (11),,JACL 0-27 ,0,,1,0,0,0,0,0,0,,0%
IRBrian Price DL DAL (6),,@SFW 40-10 ,0,,0,0,0,0,0,0,0,,0%
Larry Ogunjobi DL CLE (9),,TENL 9-12 ,0,,1,0,0,0,0,0,0,,0%
OUTEddie Vanderdoes DL OAK (10),,KCW 31-30 ,0,,1,0,0,0,0,0,0,,0%
IRNazair Jones DL SEA (6),,@NYGW 24-7 ,0,,0,0,0,0,0,0,0,,1%
Dawuane Smoot DL JAC (8),,@INDW 27-0 ,0,,1,0,0,0,0,0,0,,1%
Carl Lawson DL CIN (6),,@PITL 14-29 ,0,,1,0,0,0,0,0,0,,6%
OUTChris Odom DL GB (8),,NOL 17-26 ,0,,1,0,0,0,0,0,0,,0%
