Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Chris Godwin WR TB (1),,@ATLL 20-34 ,1.7,,0,0,0,,1,2,17,0,,0,0,17,,11%
Tavon Austin WR LA (8),,NOW 26-20 ,1.6,,5,17,0,,3,4,-1,0,,0,0,16,,13%
OUTDonte Moncrief WR IND (11),,TENL 16-20 ,1.6,,0,0,0,,1,3,16,0,,0,0,16,,50%
Taylor Gabriel WR ATL (5),,TBW 34-20 ,1.6,,0,0,0,,3,3,16,0,,0,0,16,,18%
T.Y. Hilton WR IND (11),,TENL 16-20 ,1.5,,0,0,0,,2,5,15,0,,0,0,15,,95%
Kendall Wright WR CHI (9),,@PHIL 3-31 ,1.5,,0,0,0,,2,5,15,0,,0,0,15,,19%
IRJordan Matthews WR BUF (6),,@KCW 16-10 ,1.5,,0,0,0,,2,3,15,0,,0,0,15,,42%
J.J. Nelson WR ARI (8),,JACW 27-24 ,1.4,,0,0,0,,1,4,14,0,,0,0,14,,27%
Marqise Lee WR JAC (8),,@ARIL 24-27 ,1.3,,0,0,0,,1,2,13,0,,0,0,13,,50%
OUTEmmanuel Sanders WR DEN (5),,@OAKL 14-21 ,1.2,,0,0,0,,3,6,12,0,,0,0,12,,79%
Maurice Harris WR WAS (5),,NYGW 20-10 ,1.2,,0,0,0,,2,2,12,0,,0,0,12,,1%
Mack Hollins WR PHI (10),,CHIW 31-3 ,1.2,,0,0,0,,2,2,12,0,,0,0,12,,7%
OUTJordy Nelson WR GB (8),,@PITL 28-31 ,1.1,,0,0,0,,3,5,11,0,,0,0,11,,92%
Willie Snead WR NO (5),,@LAL 20-26 ,0.9,,0,0,0,,1,1,9,0,,0,0,9,,44%
OUTHarry Douglas WR TEN (8),,@INDW 20-16 ,0.8,,0,0,0,,1,3,8,0,,0,0,8,,1%
Aldrick Robinson WR SF (11),,SEAL 13-24 ,0.8,,0,0,0,,1,3,8,0,,0,0,8,,2%
Michael Floyd WR MIN (9),,@DETW 30-23 ,0.8,,0,0,0,,1,1,8,0,,0,0,8,,8%
OUTChad Williams WR ARI (8),,JACW 27-24 ,0.8,,1,0,0,,1,3,8,0,,0,0,8,,6%
Taywan Taylor WR TEN (8),,@INDW 20-16 ,0.8,,0,0,0,,1,2,8,0,,0,0,8,,9%
OUTJeremy Maclin WR BAL (10),,HOUW 23-16 ,0.6,,0,0,0,,1,5,6,0,,0,0,6,,64%
Deonte Thompson WR BUF (6),,@KCW 16-10 ,0.6,,0,0,0,,1,3,6,0,,0,0,6,,8%
Danny Amendola WR NE (9),,MIAW 35-17 ,0.5,,0,0,0,,1,4,15,0,,1,0,19,,42%
Brice Butler WR DAL (6),,LACL 6-28 ,0.5,,0,0,0,,1,2,5,0,,0,0,5,,5%
DeVante Parker WR MIA (1),,@NEL 17-35 ,0.5,,0,0,0,,1,3,5,0,,0,0,5,,67%
Trevor Davis WR GB (8),,@PITL 28-31 ,0.4,,1,4,0,,0,0,0,0,,0,0,63,,1%
Ryan Grant WR WAS (5),,NYGW 20-10 ,0.3,,0,0,0,,1,2,3,0,,0,0,3,,9%
Tyler Lockett WR SEA (6),,@SFW 24-13 ,0.2,,1,2,0,,0,1,0,0,,0,0,35,,49%
Andre Roberts WR ATL (5),,TBW 34-20 ,0,,0,0,0,,0,0,0,0,,0,0,155,,1%
Brenton Bersin WR CAR (11),,@NYJW 35-27 ,0,,0,0,0,,0,1,0,0,,0,0,0,,0%
Markus Wheaton WR CHI (9),,@PHIL 3-31 ,0,,0,0,0,,0,1,0,0,,0,0,0,,5%
Justin Hunter WR PIT (9),,GBW 31-28 ,0,,0,0,0,,0,1,0,0,,0,0,0,,1%
Russell Shepard WR CAR (11),,@NYJW 35-27 ,0,,0,0,0,,0,0,0,0,,0,0,0,,4%
IRT.J. Jones WR DET (7),,MINL 23-30 ,0,,0,0,0,,0,0,0,0,,0,0,52,,3%
C.J. Goodwin WR ATL (5),,TBW 34-20 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
OUTBreshad Perriman WR BAL (10),,HOUW 23-16 ,0,,0,0,0,,0,2,0,0,,0,0,0,,16%
Vince Mayle WR BAL (10),,HOUW 23-16 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
QJordan Taylor WR DEN (5),,@OAKL 14-21 ,0,,0,0,0,,0,0,0,0,,0,0,8,,0%
Ricardo Louis WR CLE (9),,@CINL 16-30 ,0,,0,0,0,,0,2,0,0,,0,0,0,,4%
OUTCody Core WR CIN (6),,CLEW 30-16 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Jakeem Grant WR MIA (1),,@NEL 17-35 ,0,,0,0,0,,0,0,0,0,,0,0,97,,1%
Kalif Raymond WR NYG (8),,@WASL 10-20 ,0,,0,0,0,,0,0,0,0,,0,0,8,,0%
Tommylee Lewis WR NO (5),,@LAL 20-26 ,0,,0,0,0,,0,1,0,0,,0,0,0,,1%
