Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Nickell Robey DB LA (8),,SFL 13-34 ,3,,0,3,0,0,0,0,0,,2%
A.J. Bouye DB JAC (8),,@TENL 10-15 ,3,,1,3,0,0,0,0,0,,17%
IRPhillip Gaines DB KC (10),,@DENW 27-24 ,3,,0,3,0,0,0,0,0,,1%
Andre Hal DB HOU (7),,@INDL 13-22 ,3,,1,3,0,0,0,0,0,,3%
Walt Aikens DB MIA (1),,BUFL 16-22 ,3,,1,3,0,0,0,0,0,,0%
Justin Currie DB CLE (9),,@PITL 24-28 ,3,,0,3,0,0,0,0,0,,0%
James Bradberry DB CAR (11),,@ATLL 10-22 ,3,,2,3,0,0,0,0,0,,12%
Xavien Howard DB MIA (1),,BUFL 16-22 ,3,,1,3,0,0,0,0,0,,4%
Trevor Williams DB LAC (9),,OAKW 30-10 ,3,,0,3,0,0,0,0,0,,3%
Matthias Farley DB IND (11),,HOUW 22-13 ,3,,1,3,0,0,0,0,0,,33%
Josh Hawkins DB GB (8),,@DETL 11-35 ,3,,1,3,0,0,0,0,0,,0%
Marwin Evans DB GB (8),,@DETL 11-35 ,3,,0,3,0,0,0,0,0,,0%
Marshon Lattimore DB NO (5),,@TBL 24-31 ,3,,0,3,0,0,0,0,0,,27%
Jamal Adams DB NYJ (11),,@NEL 6-26 ,3,,7,3,0,0,0,0,0,,44%
Marlon Humphrey DB BAL (10),,CINL 27-31 ,3,,0,3,0,0,0,0,0,,3%
Rasul Douglas DB PHI (10),,DALL 0-6 ,3,,1,3,0,0,0,0,0,,1%
Leon McQuay DB KC (10),,@DENW 27-24 ,3,,0,3,0,0,0,0,0,,0%
Josh Harvey-Clemons DB WAS (5),,@NYGL 10-18 ,3,,0,3,0,0,0,0,0,,0%
Shalom Luani DB OAK (10),,@LACL 10-30 ,3,,2,3,0,0,0,0,0,,0%
Chuck Clark DB BAL (10),,CINL 27-31 ,3,,0,3,0,0,0,0,0,,0%
QKenny Moore DB IND (11),,HOUW 22-13 ,3,,1,3,0,0,0,0,0,,0%
Kai Nacua DB CLE (9),,@PITL 24-28 ,3,,2,3,0,0,0,0,0,,0%
Brent Grimes DB TB (1),,NOW 31-24 ,2,,2,2,0,0,0,0,0,,7%
Eric Weddle DB BAL (10),,CINL 27-31 ,2,,0,1,0,0,0,1,0,,58%
Patrick Chung DB NE (9),,NYJW 26-6 ,2,,0,2,0,0,0,0,0,,26%
Darius Butler DB IND (11),,HOUW 22-13 ,2,,0,2,0,0,0,0,0,,1%
Michael Mitchell DB PIT (9),,CLEW 28-24 ,2,,0,1,0,0,0,1,0,,4%
Joe Haden DB PIT (9),,CLEW 28-24 ,2,,0,2,0,0,0,0,0,,5%
QT.J. Ward DB TB (1),,NOW 31-24 ,2,,1,2,0,0,0,0,0,,27%
Chris Conte DB TB (1),,NOW 31-24 ,2,,1,2,0,0,0,0,0,,25%
Colin Jones DB CAR (11),,@ATLL 10-22 ,2,,2,2,0,0,0,0,0,,0%
Justin Bethel DB ARI (8),,@SEAW 26-24 ,2,,2,2,0,0,0,0,0,,15%
Stephon Gilmore DB NE (9),,NYJW 26-6 ,2,,1,2,0,0,0,0,0,,4%
DeShawn Shead DB SEA (6),,ARIL 24-26 ,2,,0,2,0,0,0,0,0,,3%
Johnson Bademosi DB NE (9),,NYJW 26-6 ,2,,0,2,0,0,0,0,0,,0%
Desmond Trufant DB ATL (5),,CARW 22-10 ,2,,0,2,0,0,0,0,0,,7%
QShawn Williams DB CIN (6),,@BALW 31-27 ,2,,0,2,0,0,0,0,0,,5%
Johnathan Cyprien DB TEN (8),,JACW 15-10 ,2,,2,2,0,0,0,0,0,,44%
Jordan Poyer DB BUF (6),,@MIAW 22-16 ,2,,2,0,1,0,0,0,0,,58%
Jahleel Addae DB LAC (9),,OAKW 30-10 ,2,,2,2,0,0,0,0,0,,38%
Cody Davis DB LA (8),,SFL 13-34 ,2,,1,2,0,0,0,0,0,,0%
Darryl Morris DB NYG (8),,WASW 18-10 ,2,,1,2,0,0,0,0,0,,0%
Kyle Fuller DB CHI (9),,@MINL 10-23 ,2,,0,2,0,0,0,0,0,,10%
Ricardo Allen DB ATL (5),,CARW 22-10 ,2,,2,0,1,0,0,0,0,,5%
