Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Alan Cross RB TB (1),,@GBL 20-26 ,1.3,,0,0,0,,1,1,13,0,,0,0,13,,0%
Duke Johnson RB CLE (9),,@LACL 10-19 ,1.2,,7,2,0,,2,4,10,0,,0,0,24,,79%
Paul Perkins RB NYG (8),,@OAKL 17-24 ,1.2,,3,12,0,,0,0,0,0,,0,0,12,,34%
IRJames Conner RB PIT (9),,@CINW 23-20 ,1.2,,3,12,0,,0,0,0,0,,0,0,12,,17%
Shane Vereen RB NYG (8),,@OAKL 17-24 ,1,,1,-3,0,,3,3,13,0,,0,0,10,,15%
Devontae Booker RB DEN (5),,@MIAL 9-35 ,0.8,,2,8,0,,1,1,0,0,,0,0,8,,26%
Thomas Rawls RB SEA (6),,PHIW 24-10 ,0.4,,1,4,0,,0,0,0,0,,0,0,4,,39%
OUTZach Zenner RB DET (7),,@BALL 20-44 ,0.4,,1,4,0,,0,0,0,0,,0,0,46,,3%
OUTEddie Lacy RB SEA (6),,PHIW 24-10 ,0.3,,1,3,0,,0,0,0,0,,0,0,3,,42%
OUTJordan Todman RB HOU (7),,@TENL 13-24 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Fozzy Whittaker RB CAR (11),,@NOL 21-31 ,0,,0,0,0,,0,0,0,0,,0,0,42,,1%
Kenjon Barner RB PHI (10),,@SEAL 10-24 ,0,,0,0,0,,0,1,0,0,,0,0,43,,1%
Benny Cunningham RB CHI (9),,SFL 14-15 ,0,,0,0,0,,0,0,0,0,,0,0,0,,3%
Roosevelt Nix RB PIT (9),,@CINW 23-20 ,0,,0,0,0,,0,1,0,0,,0,0,0,,0%
Aaron Ripkowski RB GB (8),,TBW 26-20 ,0,,0,0,0,,0,1,0,0,,0,0,0,,0%
Corey Grant RB JAC (8),,INDW 30-10 ,0,,0,0,0,,0,0,0,0,,0,0,46,,2%
Derek Watt RB LAC (9),,CLEW 19-10 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Andy Janovich RB DEN (5),,@MIAL 9-35 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
OUTDan Vitale RB CLE (9),,@LACL 10-19 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Matthew Dayes RB CLE (9),,@LACL 10-19 ,0,,0,0,0,,0,0,0,0,,0,0,51,,2%
Shane Smith RB NYG (8),,@OAKL 17-24 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Jalen Richard RB OAK (10),,NYGW 24-17 ,-2.1,,1,4,0,,1,3,5,0,,3,0,49,,21%
