Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Akeem Hunt RB - KC,@NYJ,-,-,-,6.94,0.04,4.46,0.02,-,-,0.04,1.42
Chris Ivory RB - JAX,IND,-,-,-,6.14,0.04,3.33,0.02,-,0.01,0.02,1.29
Aaron Ripkowski RB - GB,TB,-,-,-,4.18,0.03,4.22,0.03,-,0.01,0.01,1.20
Elijhaa Penny RB - ARI,LA,-,-,-,5.3,0.04,2.59,0.02,-,-,0.02,1.11
Zach Zenner RB - DET View News,@BAL,-,-,-,5.88,0.04,2,0.01,-,-,0.02,1.05
Jamize Olawale RB - OAK,NYG,-,-,-,3.71,0.03,3.38,0.02,-,-,0.01,0.99
Andre Williams RB - LAC,CLE,-,-,-,5.22,0.04,1.7,0.01,-,0.01,0.01,0.99
Trey Edmunds RB - NO,CAR,-,-,-,3.81,0.03,2.6,0.02,-,0.01,0.01,0.94
Thomas Rawls RB - SEA,PHI,-,-,-,3.86,0.03,2.35,0.02,-,-,0.01,0.90
Brian Hill RB - CIN View News,PIT,-,-,-,3.76,0.03,2.03,0.01,-,-,0.02,0.78
Andy Janovich RB - DEN,@MIA,-,-,-,2.51,0.02,3.19,0.01,-,-,0.01,0.73
Jeremy McNichols RB - SF,@CHI,-,-,-,3.73,0.02,2,0.01,-,0.01,0.02,0.73
Shane Smith RB - NYG,@OAK,-,-,-,3.79,0.03,1.83,-,-,-,0.02,0.70
LeShun Daniels RB - WAS,@DAL,-,-,-,2.98,0.02,2.41,0.01,-,-,0.02,0.68
Fitzgerald Toussaint RB - PIT,@CIN,-,-,-,4.17,0.03,0.66,-,-,-,0.02,0.62
Mack Brown RB - MIN,@ATL,-,-,-,3.63,0.03,0.85,-,-,-,0.01,0.61
C.J. Ham RB - MIN,@ATL,-,-,-,2,0.02,2.48,0.01,-,-,0.01,0.61
Kenjon Barner RB - PHI,@SEA,-,-,-,2.01,0.02,2.25,0.01,-,-,0.02,0.57
Corey Grant RB - JAX,IND,-,-,-,2.82,0.02,1.31,0.01,-,-,0.02,0.55
Jonathan Williams RB - NO,CAR,-,-,-,1.5,0.01,1.95,0.02,-,0.01,0.01,0.53
Devante Mays RB - GB,TB,-,-,-,2.01,0.02,1.4,0.01,-,-,0.01,0.50
Alan Cross RB - TB,@GB,-,-,-,0.08,-,3.76,0.02,-,-,0.01,0.48
Zach Line RB - NO,CAR,-,-,-,1.09,0.01,2.07,0.02,-,-,0.01,0.48
Derek Watt RB - LAC,CLE,-,-,-,1.62,0.01,2.1,0.01,-,-,0.01,0.47
Malcolm Brown RB - LA,@ARI,-,-,-,2.75,0.02,0.72,-,-,-,0.01,0.45
Jordan Todman RB - HOU,@TEN,-,-,-,2.15,0.02,1.13,-,-,0.01,0.01,0.45
Matt Dayes RB - CLE,@LAC,-,-,-,2.15,0.02,1.5,-,-,-,0.03,0.43
Brandon Bolden RB - NE,@BUF,-,-,-,2.43,0.02,0.7,-,-,-,0.01,0.41
Fozzy Whittaker RB - CAR,@NO,-,-,-,1.14,0.01,1.88,0.01,-,-,0.01,0.40
Anthony Sherman RB - KC,@NYJ,-,-,-,0.23,-,3.1,0.01,-,-,0.01,0.37
Josh Ferguson RB - IND,@JAX,-,-,-,1.68,0.01,1.51,-,-,-,0.01,0.36
Lance Dunbar RB - LA,@ARI,-,-,-,-,-,2.5,0.01,-,-,0.01,0.29
Jalston Fowler RB - SEA,PHI,-,-,-,0.83,0.01,1.01,0.01,-,-,0.01,0.28
Danny Vitale RB - CLE,@LAC,-,-,-,0.29,-,2.03,-,-,-,0.01,0.21
Jay Prosch RB - HOU,@TEN,-,-,-,0.55,-,1.67,-,-,-,0.01,0.20
James Develin RB - NE,@BUF,-,-,-,-,-,1.81,-,-,-,-,0.18
Roosevelt Nix RB - PIT,@CIN,-,-,-,0.1,-,1.45,-,-,-,0.01,0.14
Patrick DiMarco RB - BUF,NE,-,-,-,0.35,-,0.66,-,-,-,-,0.10
Antonio Andrews RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Dri Archer RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Cameron Artis-Payne RB - CAR,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Matt Asiata RB,Bye,-,-,-,-,-,-,-,-,-,-,-
George Atkinson RB - KC,@NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Joe Banyard RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Kapri Bibbs RB - WAS,@DAL,-,-,-,-,-,-,-,-,-,-,0.00
Zac Brooks RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Brandon Burks RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Ka'Deem Carey RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Chris Carson RB - SEA,PHI,-,-,-,-,-,-,-,-,-,-,0.00
Tra Carson RB - CIN,PIT,-,-,-,-,-,-,-,-,-,-,0.00
David Cobb RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Dalvin Cook RB - MIN,@ATL,-,-,-,-,-,-,-,-,-,-,0.00
John Crockett RB - BAL,DET,-,-,-,-,-,-,-,-,-,-,0.00
Justin Davis RB - LA,@ARI,-,-,-,-,-,-,-,-,-,-,0.00
Knile Davis RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Kenneth Dixon RB - BAL,DET,-,-,-,-,-,-,-,-,-,-,0.00
Shaun Draughn RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Ezekiel Elliott RB - DAL,WAS,-,-,-,-,-,-,-,-,-,-,0.00
Tyler Ervin RB - HOU,@TEN,-,-,-,-,-,-,-,-,-,-,0.00
Kenneth Farrow RB - LAC,CLE,-,-,-,-,-,-,-,-,-,-,0.00
Jerome Felton RB,Bye,-,-,-,-,-,-,-,-,-,-,-
D'Onta Foreman RB - HOU,@TEN,-,-,-,-,-,-,-,-,-,-,0.00
Justin Forsett RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Mike Gillislee RB - NE,@BUF,-,-,-,-,-,-,-,-,-,-,0.00
Aaron Green RB - BUF,NE,-,-,-,-,-,-,-,-,-,-,0.00
Tion Green RB - DET,@BAL,-,-,-,-,-,-,-,-,-,-,0.00
Jonathan Grimes RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Glenn Gronkowski RB,Bye,-,-,-,-,-,-,-,-,-,-,-
DuJuan Harris RB,Bye,-,-,-,-,-,-,-,-,-,-,-
De'Angelo Henderson RB - DEN,@MIA,-,-,-,-,-,-,-,-,-,-,0.00
Quayvon Hicks RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Tim Hightower RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Jeremy Hill RB - CIN,PIT,-,-,-,-,-,-,-,-,-,-,0.00
Ronnie Hillman RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Elijah Hood RB - OAK,NYG,-,-,-,-,-,-,-,-,-,-,0.00
Darius Jackson RB - CLE,@LAC,-,-,-,-,-,-,-,-,-,-,0.00
Don Jackson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Mike James RB - DET,@BAL,-,-,-,-,-,-,-,-,-,-,0.00
Rashad Jennings RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Austin Johnson RB - TB,@GB,-,-,-,-,-,-,-,-,-,-,0.00
Chris Johnson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
David Johnson RB - ARI,LA,-,-,-,-,-,-,-,-,-,-,0.00
Devon Johnson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Storm Johnson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Will Johnson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Matt Jones RB - IND,@JAX,-,-,-,-,-,-,-,-,-,-,0.00
Taiwan Jones RB - BUF,NE,-,-,-,-,-,-,-,-,-,-,0.00
Rob Kelley RB - WAS,@DAL,-,-,-,-,-,-,-,-,-,-,0.00
John Kuhn RB - NO,CAR,-,-,-,-,-,-,-,-,-,-,0.00
Jeremy Langford RB - NYJ,KC,-,-,-,-,-,-,-,-,-,-,0.00
Daniel Lasco RB - NO,CAR,-,-,-,-,-,-,-,-,-,-,0.00
T.J. Logan RB - ARI,LA,-,-,-,-,-,-,-,-,-,-,0.00
Tre Madden RB - SEA,PHI,-,-,-,-,-,-,-,-,-,-,0.00
Keith Marshall RB - WAS,@DAL,-,-,-,-,-,-,-,-,-,-,0.00
Doug Martin RB - TB,@GB,-,-,-,-,-,-,-,-,-,-,0.00
Tre Mason RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Ryan Mathews RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Darren McFadden RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Christine Michael RB - IND,@JAX,-,-,-,-,-,-,-,-,-,-,0.00
