Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Curtis Samuel WR - CAR,@TB,-,-,-,1.37,0.01,12.83,0.06,-,0.01,0.03,1.80
Amara Darboh WR - SEA,HOU,-,-,-,0.09,-,12.49,0.08,-,-,0.01,1.72
Tre McBride WR - NYJ,ATL,-,-,-,0.25,-,12.13,0.08,-,-,0.01,1.70
Mike Williams WR - LAC,@NE,-,-,-,0.38,-,11.72,0.07,-,-,0.02,1.59
Jarius Wright WR - MIN,@CLE,-,-,-,-,-,11.59,0.07,-,-,0.01,1.56
Chris Godwin WR - TB View Videos,CAR,-,-,-,0.19,-,10.9,0.07,-,0.01,0.01,1.53
Dontrelle Inman WR - CHI,@NO,-,-,-,-,-,11.11,0.07,-,-,0.01,1.51
Bryce Treggs WR - PHI,SF,-,-,-,1.41,0.01,8.98,0.05,-,-,0.01,1.38
Alex Erickson WR - CIN View News,IND,-,-,-,1,0.01,8.64,0.06,-,-,0.04,1.30
Justin Hardy WR - ATL,@NYJ,-,-,-,-,-,9.49,0.06,-,-,0.01,1.29
Ryan Switzer WR - DAL,@WAS,-,-,-,2.86,0.02,6.85,0.04,-,-,0.03,1.27
Jace Billingsley WR - DET,PIT,-,-,-,0.27,0.01,8.12,0.06,-,-,0.01,1.24
Jakeem Grant WR - MIA,@BAL,-,-,-,0.07,-,9.19,0.05,-,-,0.03,1.17
Mack Hollins WR - PHI,SF,-,-,-,0.05,-,7.86,0.06,-,-,0.01,1.13
Jordan Taylor WR - DEN,@KC,-,-,-,0.03,-,8.37,0.05,-,-,0.01,1.12
Josh Bellamy WR - CHI,@NO,-,-,-,-,-,7.92,0.05,-,-,0.01,1.07
ArDarius Stewart WR - NYJ,ATL,-,-,-,1.81,0.01,6.09,0.04,-,-,0.03,1.03
Marcus Johnson WR - PHI,SF,-,-,-,0.12,-,7.13,0.05,-,-,0.01,1.01
Michael Floyd WR - MIN,@CLE,-,-,-,-,-,6.72,0.05,-,-,0.01,0.95
Vince Mayle WR - BAL,MIA,-,-,-,1.48,0.02,4.6,0.04,-,-,0.01,0.95
Kendrick Bourne WR - SF,@PHI,-,-,-,0.27,-,6.86,0.04,-,-,0.02,0.91
