FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Willie,Snead,W (Jan 10),1.0,5,3.33,21%,312,312,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,19.5,0.1,0.0,0.0,0.0
TJ,Jones,W (Jan 10),1.0,7,3.33,1%,313,313,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.2,15.5,0.1,0.0,0.0,0.0
Geronimo,Allison,W (Jan 10),1.0,8,3.29,1%,314,314,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.1,18.6,0.1,0.0,0.0,0.0
Harry,Douglas,W (Jan 10),1.0,8,3.29,0%,315,315,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.9,23.3,0.0,0.0,0.0,0.0
Mack,Hollins,W (Jan 10),1.0,10,3.09,0%,318,318,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.1,19.0,0.1,0.0,0.0,0.0
Chris,Godwin,W (Jan 10),1.0,1,3.06,0%,320,320,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.2,17.1,0.1,0.0,0.0,0.0
Michael,Floyd,W (Jan 10),1.0,9,2.89,0%,322,322,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.3,16.3,0.1,0.0,0.0,0.0
Josh,Malone,W (Jan 10),1.0,6,2.69,0%,325,325,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.4,20.1,0.0,0.0,0.0,0.0
Alex,Erickson,W (Jan 10),1.0,6,2.44,1%,329,329,0.0,0.0,0.0,0.3,2.2,0.0,2.0,1.6,10.6,0.0,0.1,0.0,0.0
Jarius,Wright,W (Jan 10),1.0,9,2.35,0%,331,331,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,13.8,0.1,0.0,0.0,0.0
Chad,Hansen,W (Jan 10),1.0,11,2.22,0%,332,332,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,12.9,0.1,0.0,0.0,0.0
Cody,Latimer,W (Jan 10),1.0,5,1.99,0%,335,335,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.1,14.5,0.0,0.0,0.0,0.0
ArDarius,Stewart,W (Jan 10),1.0,11,1.95,0%,337,337,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,11.7,0.1,0.0,0.0,0.0
Amara,Darboh,W (Jan 10),1.0,6,1.86,0%,339,339,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0,13.6,0.0,0.0,0.0,0.0
Cody,Core,W (Jan 10),1.0,6,1.72,0%,342,342,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,10.9,0.0,0.0,0.0,0.0
Markus,Wheaton,W (Jan 10),1.0,9,1.52,0%,343,343,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7,8.4,0.1,0.0,0.0,0.0
Pharoh,Cooper,W (Jan 10),1.0,8,1.24,1%,349,349,0.0,0.0,0.0,0.1,0.3,0.0,1.2,0.7,7.1,0.0,0.0,0.0,0.0
Michael,Campanaro,W (Jan 10),1.0,10,1.09,0%,350,350,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,6.9,0.0,0.0,0.0,0.0
Jakeem,Grant,W (Jan 10),1.0,1,0.93,0%,353,353,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8,5.5,0.0,0.0,0.0,0.0
Brittan,Golden,W (Jan 10),1.0,8,0.92,0%,354,354,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,7.0,0.0,0.0,0.0,0.0
Jaydon,Mickens,W (Jan 10),1.0,8,0.91,0%,355,355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,6.2,0.0,0.0,0.0,0.0
Isaiah,McKenzie,W (Jan 10),1.0,5,0.85,0%,357,357,0.0,0.0,0.0,0.4,1.1,0.0,0.8,0.4,5.2,0.0,0.0,0.0,0.0
Kaelin,Clay,W (Jan 10),1.0,11,0.76,0%,362,362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,4.6,0.0,0.0,0.0,0.0
Andre,Roberts,W (Jan 10),1.0,5,0.61,0%,363,363,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.7,0.0,0.1,0.0,0.0
Ryan,Switzer,W (Jan 10),1.0,6,0.56,0%,366,366,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,4.0,0.0,0.0,0.0,0.0
Brandon,Tate,W (Jan 10),1.0,6,0.38,1%,369,369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Odell,Beckham,W (Jan 10),1.0,8,0.38,23%,370,370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Trevor,Davis,W (Jan 10),1.0,8,0.36,0%,372,372,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.2,0.0,0.0,0.0,0.0
Jeff,Janis,W (Jan 10),1.0,8,0.29,0%,374,374,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.1,1.3,0.0,0.0,0.0,0.0
Justin,Hunter,W (Jan 10),1.0,9,0.26,0%,377,377,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.7,0.0,0.0,0.0,0.0
Darrius,Heyward-Bey,W (Jan 10),1.0,9,0.12,0%,382,382,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0
Noah,Brown,W (Jan 10),1.0,6,0.10,0%,387,387,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0
Titus,Davis,W (Jan 10),0.0,9,0.00,0%,389,389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
