FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Taylor,Gabriel,W (Jan 10),1.0,5,8.61,20%,157,157,0.0,0.0,0.0,1.2,5.5,0.1,4.1,2.9,43.8,0.3,0.0,0.0,0.0
Marquise,Goodwin,BigmouthBilly Bajema,1.0,11,8.60,3%,158,158,0.0,0.0,0.0,0.6,3.6,0.0,6.0,3.3,50.4,0.3,0.0,0.0,0.0
Cooper,Kupp,BigmouthBilly Bajema,1.0,8,8.54,57%,162,162,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.8,53.1,0.2,0.0,0.0,0.0
Terrance,Williams,W (Jan 10),1.0,6,8.53,5%,163,163,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.5,49.1,0.3,0.0,0.0,0.0
Cole,Beasley,W (Jan 10),1.0,6,8.37,29%,168,168,0.0,0.0,0.0,0.1,0.3,0.0,6.1,4.5,48.9,0.2,0.0,0.0,0.0
Danny,Amendola,Playoffs!!??,1.0,9,8.35,53%,169,169,0.0,0.0,0.0,0.0,0.0,0.0,5.7,4.1,45.9,0.3,0.0,0.0,0.0
Donte,Moncrief,W (Jan 10),1.0,11,8.26,56%,174,174,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3,44.3,0.4,0.0,0.0,0.0
Torrey,Smith,W (Jan 10),1.0,10,8.08,8%,179,179,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.5,46.6,0.3,0.0,0.0,0.0
Phillip,Dorsett,W (Jan 10),1.0,9,8.07,5%,180,180,0.0,0.0,0.0,0.3,0.0,0.0,5.3,3.6,51.0,0.2,0.0,0.0,0.0
Chris,Conley,W (Jan 10),1.0,10,8.06,3%,181,181,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.5,46.1,0.3,0.0,0.0,0.0
Taywan,Taylor,W (Jan 10),1.0,8,7.98,0%,184,184,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.5,43.1,0.3,0.0,0.0,0.0
Robert,Woods,Natty Lights,1.0,8,7.96,7%,186,186,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.8,45.6,0.2,0.0,0.0,0.0
Zay,Jones,W (Jan 10),1.0,6,7.90,21%,188,188,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.7,45.8,0.2,0.0,0.0,0.0
Curtis,Samuel,W (Jan 10),1.0,11,7.61,2%,203,203,0.0,0.0,0.0,0.9,7.9,0.1,4.4,2.8,37.2,0.2,0.0,0.0,0.0
Eli,Rogers,W (Jan 10),1.0,9,7.46,1%,208,208,0.0,0.0,0.0,0.1,0.4,0.0,5.5,3.6,46.1,0.2,0.0,0.0,0.0
Josh,Bellamy,W (Jan 10),1.0,9,7.41,0%,209,209,0.0,0.0,0.0,0.0,0.0,0.0,4.4,3.6,44.5,0.2,0.0,0.0,0.0
Ryan,Grant,W (Jan 10),1.0,5,7.40,0%,210,210,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,45.0,0.1,0.0,0.0,0.0
