FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Rod,Smith,Fantasy What Now?,1.0,6,3.66,18%,282,282,0.0,0.0,0.0,3.7,15.9,0.1,1.2,0.9,5.6,0.1,0.0,0.0,0.0
Charcandrick,West,W (Jan 10),1.0,10,3.53,2%,284,284,0.0,0.0,0.0,3.0,14.0,0.1,1.6,1.2,9.7,0.0,0.0,0.0,0.0
Benny,Cunningham,W (Jan 10),1.0,9,3.24,0%,289,289,0.0,0.0,0.0,2.0,8.6,0.0,1.8,1.7,15.3,0.0,0.0,0.0,0.0
De'Angelo,Henderson,W (Jan 10),1.0,5,3.16,0%,292,292,0.0,0.0,0.0,3.0,12.1,0.1,0.9,0.8,8.8,0.0,0.0,0.0,0.0
T.J.,Yeldon,W (Jan 10),1.0,8,2.95,11%,299,299,0.0,0.0,0.0,2.4,9.7,0.1,1.6,1.2,8.2,0.0,0.0,0.0,0.0
Dare,Ogunbowale,W (Jan 10),1.0,5,2.91,0%,300,300,0.0,0.0,0.0,3.0,11.6,0.0,2.3,1.7,8.7,0.0,0.0,0.0,0.0
Alfred,Blue,W (Jan 10),1.0,7,2.57,0%,308,308,0.0,0.0,0.0,3.0,11.2,0.1,0.8,0.7,5.0,0.0,0.0,0.0,0.0
Mike,Tolbert,W (Jan 10),1.0,6,2.37,1%,313,313,0.0,0.0,0.0,2.8,10.2,0.1,0.8,0.7,3.8,0.0,0.0,0.0,0.0
Ameer,Abdullah,BigmouthBilly Bajema,1.0,7,2.35,67%,315,315,0.0,0.0,0.0,3.5,13.8,0.1,0.6,0.5,3.3,0.0,0.0,0.0,0.0
Alfred,Morris,W (Jan 10),1.0,6,2.15,59%,323,323,0.0,0.0,0.0,2.5,11.1,0.1,0.3,0.3,1.6,0.0,0.0,0.0,0.0
Malcolm,Brown,W (Jan 10),1.0,8,2.14,0%,324,324,0.0,0.0,0.0,3.0,12.7,0.1,0.5,0.4,2.2,0.0,0.0,0.0,0.0
Javorius,Allen,W (Jan 10),1.0,10,2.12,29%,326,326,0.0,0.0,0.0,2.0,8.5,0.0,0.7,0.7,6.1,0.0,0.0,0.0,0.0
Brian,Hill,W (Jan 10),1.0,6,1.95,0%,330,330,0.0,0.0,0.0,2.6,11.4,0.1,0.3,0.3,1.3,0.0,0.0,0.0,0.0
Austin,Ekeler,Shen and the Pencils,1.0,9,1.81,21%,333,333,0.0,0.0,0.0,1.0,4.5,0.0,0.6,0.5,5.3,0.1,0.0,0.0,0.0
Kenjon,Barner,W (Jan 10),1.0,10,1.77,0%,335,335,0.0,0.0,0.0,2.0,8.7,0.0,0.8,0.7,5.5,0.0,0.0,0.0,0.0
Fitzgerald,Toussaint,W (Jan 10),1.0,9,1.60,0%,341,341,0.0,0.0,0.0,2.2,9.6,0.0,0.7,0.6,3.5,0.0,0.0,0.0,0.0
Corey,Grant,W (Jan 10),1.0,8,1.22,0%,351,351,0.0,0.0,0.0,1.4,6.0,0.0,0.3,0.3,2.2,0.0,0.0,0.0,0.0
Terron,Ward,W (Jan 10),1.0,5,1.03,0%,357,357,0.0,0.0,0.0,1.0,4.3,0.0,0.4,0.3,2.7,0.0,0.0,0.0,0.0
Fozzy,Whittaker,W (Jan 10),1.0,11,0.91,0%,358,358,0.0,0.0,0.0,0.8,3.6,0.0,0.5,0.4,3.6,0.0,0.0,0.0,0.0
Rhett,Ellison,W (Jan 10),1.0,8,0.87,0%,359,359,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,5.0,0.0,0.0,0.0,0.0
Thomas,Rawls,W (Jan 10),1.0,6,0.65,10%,362,362,0.0,0.0,0.0,1.0,3.7,0.0,0.1,0.1,0.9,0.0,0.0,0.0,0.0
Jacquizz,Rodgers,W (Jan 10),1.0,1,0.44,10%,366,366,0.0,0.0,0.0,0.5,2.0,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0
Jeremy,McNichols,W (Jan 10),1.0,11,0.44,0%,367,367,0.0,0.0,0.0,0.5,2.1,0.0,0.2,0.2,0.9,0.0,0.0,0.0,0.0
Josh,Ferguson,W (Jan 10),1.0,11,0.40,0%,370,370,0.0,0.0,0.0,0.5,1.7,0.0,0.4,0.2,1.4,0.0,0.0,0.0,0.0
Darren,Sproles,W (Jan 10),1.0,10,0.38,2%,372,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Stevan,Ridley,W (Jan 10),1.0,9,0.37,0%,373,373,0.0,0.0,0.0,1.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
