Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
36,Chad Henne,QB,17,JAX,TEN,4.2,7.1,57.1,56.5,8.0,0.3,0.2,83.0,0.4,0.5,0.0,0.0,3.11
37,Teddy Bridgewater,QB,17,MIN,CHI,2.9,5.4,60.0,35.6,7.2,0.3,0.1,82.1,0.8,2.4,2.0,0.0,2.66
38,Davis Webb,QB,17,NYG,WAS,2.8,4.7,60.0,37.3,7.4,0.1,0.4,82.9,1.1,3.6,4.0,0.0,1.45
39,CJ Beathard,QB,17,SF,LAR,2.2,3.7,50.0,29.2,7.2,0.0,0.0,74.0,0.5,2.7,0.0,0.0,1.44
40,Kevin Hogan,QB,17,CLE,PIT,1.8,3.0,66.7,23.7,8.0,0.0,0.0,91.0,0.4,1.9,0.0,0.0,1.14
41,Blaine Gabbert,QB,17,ARI,SEA,1.7,2.9,66.7,22.8,7.7,0.0,0.0,89.6,0.5,1.8,0.0,0.0,1.09
42,Cooper Rush,QB,17,DAL,PHI,1.9,3.2,66.7,25.6,8.7,0.1,0.3,93.8,0.5,2.2,0.0,0.0,0.84
43,AJ McCarron,QB,17,CIN,BAL,1.0,1.7,50.0,13.9,7.0,0.1,0.1,72.9,0.1,0.2,0.0,0.0,0.78
44,David Fales,QB,17,MIA,BUF,2.7,4.6,60.0,36.4,7.2,0.1,0.5,82.1,0.4,0.9,0.0,0.0,0.75
45,EJ Manuel,QB,17,OAK,LAC,1.0,1.7,50.0,13.2,6.5,0.0,0.0,70.8,0.4,1.0,0.0,0.0,0.63
46,Scott Tolzien,QB,17,IND,HOU,1.1,1.9,50.0,15.2,7.5,0.0,0.0,75.0,0.4,0.1,0.0,0.0,0.62
47,Mike Glennon,QB,17,CHI,MIN,0.9,1.5,100.0,11.7,12.0,0.0,0.0,116.7,0.0,0.1,0.0,0.0,0.48
48,Christian Hackenberg,QB,17,NYJ,NE,2.6,4.9,60.0,26.9,5.4,0.1,0.5,74.6,0.5,2.0,0.0,0.0,0.48
49,Brian Hoyer,QB,17,NE,NYJ,0.9,1.4,100.0,11.4,11.0,0.0,0.0,112.5,0.4,0.1,0.0,0.0,0.47
50,Ryan Mallett,QB,17,BAL,CIN,0.7,1.2,100.0,9.8,10.0,0.0,0.0,108.3,0.4,0.3,0.0,0.0,0.42
