Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
34,Mike Glennon,QB,11,CHI,DET,0.4,0.7,0.0,5.6,6.0,0.0,0.0,52.1,0.0,0.1,0.0,0.0,0.23
35,Kellen Clemens,QB,11,LAC,BUF,0.4,0.6,0.0,4.9,5.0,0.0,0.0,47.9,0.0,0.2,0.0,0.0,0.22
36,Austin Davis,QB,11,SEA,ATL,0.4,0.6,0.0,4.9,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.21
37,AJ McCarron,QB,11,CIN,DEN,0.4,0.6,0.0,4.8,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.20
38,TJ Yates,QB,11,HOU,ARI,0.4,0.6,0.0,4.8,5.0,0.0,0.0,47.9,0.1,0.1,0.0,0.0,0.20
39,EJ Manuel,QB,11,OAK,NE,0.3,0.5,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.19
40,Matt Schaub,QB,11,ATL,SEA,0.3,0.6,0.0,4.4,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.19
41,Landry Jones,QB,11,PIT,TEN,0.3,0.5,0.0,4.2,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.18
42,Chase Daniel,QB,11,NO,WAS,0.3,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.18
43,Colt McCoy,QB,11,WAS,NO,0.3,0.5,0.0,4.3,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.18
44,Patrick Mahomes,QB,11,KC,NYG,0.3,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.17
45,Teddy Bridgewater,QB,11,MIN,LAR,0.6,1.0,100.0,7.9,8.0,0.0,0.0,100.0,0.1,0.2,0.0,0.0,0.14
46,Cooper Rush,QB,11,DAL,PHI,0.2,0.3,0.0,2.6,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.14
47,Matt Cassel,QB,11,TEN,PIT,0.2,0.3,0.0,2.6,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.12
48,Geno Smith,QB,11,NYG,KC,0.2,0.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.10
49,Nick Foles,QB,11,PHI,DAL,0.2,0.3,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10
50,Chad Henne,QB,11,JAX,CLE,0.1,0.2,0.0,1.4,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.08
