Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
35,AJ McCarron,QB,10,CIN,TEN,0.4,0.7,0.0,5.2,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.22
36,Matt Moore,QB,10,MIA,CAR,0.4,0.6,0.0,5.1,5.0,0.0,0.0,47.9,0.0,0.2,0.0,0.0,0.22
37,Austin Davis,QB,10,SEA,ARI,0.4,0.6,0.0,5.1,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.21
38,Brian Hoyer,QB,10,NE,DEN,0.4,0.6,0.0,5.0,5.0,0.0,0.0,47.9,0.1,0.1,0.0,0.0,0.21
39,Colt McCoy,QB,10,WAS,MIN,0.4,0.6,0.0,4.8,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.20
40,Matt Schaub,QB,10,ATL,DAL,0.4,0.6,0.0,4.8,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.20
41,Blaine Gabbert,QB,10,ARI,SEA,0.6,1.1,100.0,8.4,8.0,0.0,0.1,100.0,0.1,0.5,0.0,0.0,0.19
42,Chase Daniel,QB,10,NO,BUF,0.3,0.5,0.0,4.3,4.0,0.0,0.0,43.8,0.1,0.1,0.0,0.0,0.18
43,Kellen Clemens,QB,10,LAC,JAX,0.3,0.5,0.0,4.3,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.18
44,Landry Jones,QB,10,PIT,IND,0.3,0.5,0.0,4.1,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.17
45,TJ Yates,QB,10,HOU,LAR,0.6,1.0,100.0,8.3,8.0,0.0,0.0,100.0,0.1,0.4,0.0,0.0,0.17
46,Matt Cassel,QB,10,TEN,CIN,0.2,0.3,0.0,2.7,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.13
47,Cooper Rush,QB,10,DAL,ATL,0.2,0.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.12
48,Geno Smith,QB,10,NYG,SF,0.2,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.09
49,Derek Anderson,QB,10,CAR,MIA,0.2,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.09
50,Chad Henne,QB,10,JAX,LAC,0.1,0.2,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.07
