PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Andre Roberts,Mia,L 17-20,0/0,0,0,0,0,0,0,1.2,15.3,0.1,3.8
Tanner Gentry,@Bal,W 27-24,0/0,0,0,0,0,0,0,1.3,16.2,0.1,3.4
Kamar Aiken,@Ten,L 22-36,0/0,0,0,0,0,0,0,1.4,15.3,0.1,3.3
ArDarius Stewart,NE,L 17-24,0/0,0,0,0,0,0,0,1,14,0.1,2.9
Chris Godwin,@Ari,L 33-38,0/0,0,0,0,0,0,0,1.1,12.8,0.1,2.9
Justin Hunter,@KC,W 19-13,0/0,0,0,0,0,0,0,1,13.9,0.1,2.9
Chris Matthews,Chi,L 24-27,0/0,0,0,0,0,0,0,1,13.3,0.1,2.8
Russell Shepard,Phi,L 23-28,0/0,0,0,0,0,0,0,0.9,14.2,0.1,2.8
Isaiah McKenzie,NYG,L 10-23,0/0,0,0,0,0,0,0,0.9,10.7,0.1,2.5
De'Anthony Thomas*,Pit,L 13-19,0/0,0,0,0,0.2,1.5,0,0.9,8.2,0.1,2.3
Eric Weems,Ind,W 36-22,0/0,0,0,0,0,0,0,0.8,10,0.1,2.3
Chris Thompson,Cle,W 33-17,0/0,0,0,0,0,0,0,0.5,7.6,0.1,1.8
Mack Hollins,@Car,W 28-23,0/0,0,0,0,0,0,0,0.7,8.1,0,1.7
Chris Moore,Chi,L 24-27,0/0,0,0,0,0,0,0,0.6,7.5,0,1.6
Arrelious Benn*,LAR,L 17-27,0/0,0,0,0,0,0,0,0.5,6.8,0,1.4
Geronimo Allison,@Min,L 10-23,0/0,0,0,0,0,0,0,0.4,5.7,0,1.2
Eli Rogers,@KC,W 19-13,0/0,0,0,0,0,0,0,0.5,5.5,0,1.2
Marcus Johnson,@Car,W 28-23,0/0,0,0,0,0,0,0,0.5,5.4,0,1.2
Dontrelle Inman,@Bal,W 27-24,0/0,0,0,0,0,0,0,0.3,4.4,0,0.9
Phillip Dorsett,@NYJ,W 24-17,0/0,0,0,0,0.1,0.9,0,0.2,2.7,0,0.7
Quan Bray,** BYE **,0/0,0,0,0,0,0,0,0.2,2.5,0,--
Pharoh Cooper,@Jax,W 27-17,0/0,0,0,0,0,0,0,0.2,2.2,0,0.6
Chad Hansen,NE,L 17-24,0/0,0,0,0,0,0,0,0.2,2.8,0,0.6
Vince Mayle,Chi,L 24-27,0/0,0,0,0,0,0,0,0.2,2.3,0,0.5
Jehu Chesson,Pit,L 13-19,0/0,0,0,0,0,0,0,0.2,2.4,0,0.5
Bernard Reedy,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0.1,1.3,0,0.5
Trevor Davis,@Min,L 10-23,0/0,0,0,0,0,0,0,0.1,1.3,0,0.4
Sammie Coates,@Hou,L 17-33,0/0,0,0,0,0,0,0,0.1,1.2,0,0.3
Tyler Lockett,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Ryan Switzer,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Alex Erickson,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Brandon Tate,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Victor Bolden Jr.,@Wsh,L 24-26,0/0,0,0,0,0,0,0,0,0,0,0.1
Kaelin Clay,Phi,L 23-28,0/0,0,0,0,0,0,0,0,0,0,0.1
Jeff Janis,@Min,L 10-23,0/0,0,0,0,0,0,0,0,0,0,0
Paul Richardson,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Steve Smith Sr.,Chi,L 24-27,0/0,0,0,0,0,0,0,0,0,0,0
Andre Johnson,Ind,W 36-22,0/0,0,0,0,0,0,0,0,0,0,0
Anquan Boldin,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
