PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Mark Sanchez,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matthew Stafford,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Sam Bradford*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jimmy Clausen,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Colt McCoy,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dan LeFevour,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Joe Webb,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Thaddeus Lewis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Christian Ponder,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Blaine Gabbert,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Cam Newton,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Colin Kaepernick,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Andy Dalton,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ryan Mallett,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
T.J. Yates,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tyrod Taylor,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jerrod Johnson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Scott Tolzien,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Andrew Luck*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Robert Griffin III,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ryan Tannehill*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Nick Foles,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Weeden,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brock Osweiler,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kirk Cousins,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Russell Wilson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kellen Moore,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ryan Lindley,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Case Keenum,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Austin Davis,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Simms,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Alex Tanney*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
EJ Manuel,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Mike Glennon,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Geno Smith,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ryan Nassib,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Sean Renfree,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Landry Jones,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Zac Dysert*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Barkley,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Ryan Griffin,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tyler Bray,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt McGloin,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Blake Bortles,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Teddy Bridgewater,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Johnny Manziel,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Derek Carr,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jimmy Garoppolo,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
AJ McCarron,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tajh Boyd,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Zach Mettenberger,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
David Fales,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Keith Wenning,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Tom Savage*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Aaron Murray,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Matt Blanchard,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dustin Vaughan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Connor Shaw,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jameis Winston,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Bryce Petty,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Trevor Siemian*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dylan Thompson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Sean Mannion,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Garrett Grayson,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Marcus Mariota,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brett Hundley,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jared Goff,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
