PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Nick Folk*,NO,W 31-24,0/0,0/0,0/0,0/0,0/0,0
Garrett Hartley,Cle,W 28-24,0/0,0/0,0/0,0/0,0/0,0
Dan Carpenter,@Mia,W 22-16,0/0,0/0,0/0,0/0,0/0,0
Connor Barth,@Min,L 10-23,0/0,0/0,0/0,0/0,0/0,0
Greg Zuerlein*,SF,L 13-34,0/0,0/0,0/0,0/0,0/0,0
Brandon Bogotay,NO,W 31-24,0/0,0/0,0/0,0/0,0/0,0
Caleb Sturgis*,Dal,L 0-6,0/0,0/0,0/0,0/0,0/0,0
Zach Hocker,NO,W 31-24,0/0,0/0,0/0,0/0,0/0,0
Travis Coons,Oak,W 30-10,0/0,0/0,0/0,0/0,0/0,0
Cairo Santos*,@Min,L 10-23,0/0,0/0,0/0,0/0,0/0,0
Kasey Redfern*,GB,W 35-11,0/0,0/0,0/0,0/0,0/0,0
Jordan Gay,Jax,W 15-10,0/0,0/0,0/0,0/0,0/0,0
Jason Myers,Ari,L 24-26,0/0,0/0,0/0,0/0,0/0,0
Kyle Brindza,@NE,L 6-26,0/0,0/0,0/0,0/0,0/0,0
Andrew Franks,Buf,L 16-22,0/0,0/0,0/0,0/0,0/0,0
Roberto Aguayo,@Min,L 10-23,0/0,0/0,0/0,0/0,0/0,0
Younghoe Koo,Oak,W 30-10,0/0,0/0,0/0,0/0,0/0,0
