PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Donte Moncrief*,Cle,W 31-28,0/0,0,0,0,0.2,1.6,0,3.7,46.1,0.3,10.4
Matt Forte*,Mia,W 20-6,0/0,0,0,0,8.5,37,0.2,2.7,22.9,0.1,10.3
Terrance Williams,@Ari,W 28-17,0/0,0,0,0,0,0,0,3.6,51.5,0.3,10.3
Torrey Smith,NYG,W 27-24,0/0,0,0,0,0,0,0,3.2,51.2,0.2,9.7
Tyler Lockett,@Ten,L 27-33,0/0,0,0,0,0.4,2.2,0,3.4,46.3,0.2,9.7
Ted Ginn Jr.,@Car,W 34-13,0/0,0,0,0,0.2,1.6,0,3.3,46.1,0.2,9.7
Brandon Marshall*,@Phi,L 24-27,0/0,0,0,0,0,0,0,3.5,45.9,0.3,9.7
Robby Anderson,Mia,W 20-6,0/0,0,0,0,0.2,1.3,0,3.5,48.7,0.2,9.7
Jared Cook,@Wsh,L 10-27,0/0,0,0,0,0,0,0,3.4,42.9,0.3,9.6
Cooper Kupp,@SF,W 41-39,0/0,0,0,0,0,0,0,3.7,43.9,0.3,9.6
Zach Miller*,Pit,W 23-17,0/0,0,0,0,0,0,0,3.8,40.9,0.3,9.5
Mike Wallace,@Jax,L 7-44,0/0,0,0,0,0.3,1.6,0,3.7,43.7,0.2,9.5
Rashard Higgins,@Ind,L 28-31,0/0,0,0,0,0.2,1.5,0,3.3,43.2,0.3,9.5
Jesse James,@Chi,L 17-23,0/0,0,0,0,0,0,0,3.6,38.1,0.3,9.5
Geronimo Allison,Cin,W 27-24,0/0,0,0,0,0,0,0,3.3,42.8,0.3,9.5
Jordan Matthews*,Den,W 26-16,0/0,0,0,0,0,0,0,3.7,44.6,0.2,9.4
Charles Clay,Den,W 26-16,0/0,0,0,0,0,0,0,3.9,40.5,0.2,9.4
Allen Hurns,Bal,W 44-7,0/0,0,0,0,0,0,0,3.6,46,0.2,9.4
Cole Beasley*,@Ari,W 28-17,0/0,0,0,0,0,0,0,4.1,42.3,0.2,9.4
James White*,Hou,W 36-33,0/0,0,0,0,4.5,17.2,0.1,3.2,26.8,0.2,9.3
Jack Doyle,Cle,W 31-28,0/0,0,0,0,0,0,0,3.8,39.6,0.3,9.3
Kenny Britt,Hou,W 36-33,0/0,0,0,0,0,0,0,3,44.8,0.3,9.3
Martellus Bennett*,Hou,W 36-33,0/0,0,0,0,0,0,0,3.6,36.6,0.3,9.3
Brandon Coleman,@Car,W 34-13,0/0,0,0,0,0,0,0,3.3,42.5,0.3,9.3
Nelson Agholor,NYG,W 27-24,0/0,0,0,0,0.2,1.5,0,3.6,41.8,0.2,9.1
Coby Fleener*,@Car,W 34-13,0/0,0,0,0,0,0,0,3.3,38,0.3,9.1
Zay Jones,Den,W 26-16,0/0,0,0,0,0,0,0,3.6,41.8,0.2,9
Benjamin Watson,@Jax,L 7-44,0/0,0,0,0,0,0,0,3.9,37.2,0.2,9
Evan Engram*,@Phi,L 24-27,0/0,0,0,0,0,0,0,3.6,40,0.2,9
Hunter Henry*,KC,L 10-24,0/0,0,0,0,0,0,0,3.1,36.7,0.4,8.9
Ed Dickson,NO,L 13-34,0/0,0,0,0,0,0,0,3.1,39.2,0.3,8.9
Marquise Goodwin,LAR,L 39-41,0/0,0,0,0,0.1,0.8,0,3.1,44.3,0.2,8.8
Markus Wheaton,Pit,W 23-17,0/0,0,0,0,0,0,0,3.1,44.2,0.2,8.7
Terrance West,@Jax,L 7-44,0/0,0,0,0,10.5,39.5,0.3,1.7,11.7,0.1,8.7
Shane Vereen,@Phi,L 24-27,0/0,0,0,0,3.2,13.4,0,3.4,28.7,0.1,8.5
Eli Rogers,@Chi,L 17-23,0/0,0,0,0,0,0,0,3.2,39.9,0.2,8.5
Breshad Perriman,@Jax,L 7-44,0/0,0,0,0,0,0,0,3.3,40.2,0.2,8.4
Paul Richardson,@Ten,L 27-33,0/0,0,0,0,0,0,0,3.1,40.3,0.2,8.4
Andre Ellington,@NE,L 33-36,0/0,0,0,0,2.8,11.3,0.1,3,29,0.1,8.3
Robert Woods,@SF,W 41-39,0/0,0,0,0,0,0,0,3.2,38.9,0.2,8.3
Austin Hooper,@Det,W 30-26,0/0,0,0,0,0,0,0,2.8,35.7,0.3,8.3
Robert Turbin*,Cle,W 31-28,0/0,0,0,0,5.2,21.1,0.1,2.5,21.8,0.1,8.3
Kenny Stills,@NYJ,L 6-20,0/0,0,0,0,0,0,0,2.5,40,0.3,8.3
